0.991 0.800 1.000 0.900 0.941 1 1
0.950 1.000 0.800 1.000 0.953 1 1
0.866 0.600 0.800 0.500 0.816 0 -1
0.916 0.800 0.800 0.900 0.843 0 1
0.916 0.800 0.900 0.800 0.903 1 1
0.883 0.400 0.600 0.600 0.822 0 -1
0.933 0.600 0.600 0.800 0.868 1 1
0.850 0.800 0.500 0.400 0.794 1 -1
0.916 1.000 1.000 0.900 0.929 1 1
0.925 0.600 0.500 0.600 0.897 1 1
0.875 0.200 0.600 0.300 0.756 0 -1
0.791 0.200 0.300 0.300 0.770 0 -1
0.866 0.400 0.400 0.400 0.836 0 -1
0.866 0.800 1.000 1.000 0.909 0 1
0.916 0.800 0.700 0.800 0.841 1 -1
0.883 0.400 0.800 0.800 0.846 0 -1
0.900 0.600 0.900 0.700 0.820 0 -1
0.883 0.800 0.900 0.900 0.911 1 -1
0.950 0.600 0.600 0.600 0.909 0 -1
0.925 1.000 1.000 1.000 0.952 1 1
0.800 0.400 0.500 0.300 0.795 0 -1
0.916 0.400 0.700 0.600 0.852 1 -1
0.991 1.000 0.800 0.700 0.987 1 1
0.850 0.400 0.300 0.400 0.793 0 -1
0.825 0.600 0.500 0.400 0.851 1 -1
0.908 0.600 0.700 0.600 0.883 0 1
0.858 0.600 0.600 0.600 0.776 0 -1
0.941 1.000 0.800 1.000 0.932 1 1
0.916 0.600 0.700 0.700 0.883 1 1
0.858 0.600 0.700 0.400 0.774 0 -1
0.825 0.200 0.600 0.400 0.685 1 -1
0.900 0.400 0.500 0.600 0.883 0 -1
0.916 0.600 0.700 0.600 0.903 1 1
0.850 0.600 0.800 0.700 0.868 0 -1
0.966 0.800 1.000 0.900 0.952 1 1
0.966 1.000 1.000 1.000 0.945 1 1
0.833 0.400 0.700 0.600 0.828 0 -1
0.858 0.800 0.900 0.700 0.872 0 1
0.833 0.600 0.700 0.600 0.810 0 -1
0.883 0.400 0.500 0.400 0.849 0 -1
0.866 0.600 0.400 0.700 0.843 0 -1
0.850 0.800 1.000 1.000 0.883 1 1
0.883 0.600 0.600 0.600 0.830 0 -1
0.841 0.400 0.400 0.500 0.772 0 -1
0.883 0.600 0.900 0.700 0.848 0 -1
0.916 1.000 0.800 0.800 0.934 1 1
0.875 0.600 0.700 0.500 0.836 0 -1
0.816 0.600 0.500 0.900 0.836 1 1
0.933 0.800 0.800 0.800 0.907 1 1
0.925 0.600 0.700 0.800 0.890 1 1
0.866 0.600 0.700 0.900 0.840 1 1
0.891 0.600 0.800 0.600 0.877 0 -1
0.883 0.800 0.300 0.500 0.842 0 -1
0.825 0.800 0.600 0.700 0.787 0 -1
0.916 1.000 0.800 1.000 0.905 1 1
0.833 0.200 0.400 0.500 0.801 0 -1
0.875 0.600 0.700 0.800 0.860 0 -1
0.933 0.800 0.800 0.900 0.917 1 1
0.858 0.400 0.500 0.500 0.830 0 -1
0.983 1.000 0.900 0.800 0.926 1 1
0.891 0.800 0.900 0.800 0.871 1 1
0.966 0.600 0.700 0.800 0.921 1 1
0.841 0.400 0.500 0.400 0.792 0 -1
0.875 0.600 0.400 0.500 0.854 0 1
0.916 0.600 0.600 0.500 0.886 0 -1
0.866 0.400 0.700 0.700 0.795 1 -1
0.866 0.600 0.800 0.700 0.819 1 1
0.883 0.400 0.700 0.600 0.832 1 1
0.950 1.000 0.900 0.800 0.901 1 1
0.941 0.600 0.800 0.600 0.939 1 1
0.891 0.800 0.600 0.500 0.854 1 1
0.858 0.600 0.500 0.800 0.883 1 1
0.908 0.800 0.800 0.800 0.875 1 -1
0.833 0.600 0.800 1.000 0.870 1 1
0.966 0.800 0.900 0.900 0.951 1 1
0.925 0.800 0.900 0.800 0.908 1 1
0.916 0.400 0.800 0.700 0.862 0 -1
0.875 1.000 0.700 0.700 0.862 0 -1
0.983 1.000 1.000 1.000 0.942 1 1
1.000 0.800 1.000 1.000 0.957 1 1
0.916 0.600 0.700 0.800 0.862 0 1
0.883 0.800 0.500 0.600 0.853 0 -1
0.941 0.800 0.900 0.900 0.918 1 1
0.916 0.600 0.800 0.800 0.887 0 1
0.900 0.800 0.900 0.800 0.911 1 1
0.866 0.600 0.900 0.900 0.849 0 -1
0.950 1.000 0.900 1.000 0.926 1 1
0.950 0.600 0.600 0.600 0.918 1 1
0.808 0.400 0.400 0.600 0.726 0 -1
0.841 0.200 0.500 0.600 0.774 0 -1
0.858 0.400 0.600 0.700 0.855 0 -1
0.891 0.400 0.700 0.700 0.870 1 -1
0.908 1.000 0.900 0.700 0.887 0 1
0.850 0.600 0.500 0.500 0.843 0 -1
0.866 0.600 0.700 0.600 0.822 0 -1
0.825 0.600 0.400 0.500 0.772 0 -1
0.933 0.800 0.900 0.900 0.933 1 1
0.916 0.200 0.500 0.700 0.860 1 -1
0.933 0.200 0.300 0.600 0.872 1 1
0.900 0.600 0.700 0.700 0.828 0 -1
0.933 0.800 1.000 0.900 0.973 1 1
0.891 0.600 0.600 0.700 0.918 1 1
0.941 0.800 1.000 1.000 0.981 1 1
0.908 0.600 0.700 0.600 0.901 1 1
0.883 0.600 0.800 0.700 0.856 1 1
0.875 0.600 0.700 0.600 0.862 0 -1
0.825 0.200 0.400 0.400 0.730 0 -1
0.966 1.000 0.900 1.000 0.915 1 1
0.866 0.400 0.500 0.700 0.854 0 -1
0.850 0.600 0.700 0.500 0.823 0 -1
0.950 0.800 0.800 0.800 0.950 1 1
0.916 0.400 0.700 0.800 0.851 0 -1
0.916 0.800 0.900 0.800 0.922 1 1
0.916 1.000 1.000 0.800 0.917 1 1
0.866 0.400 0.900 0.800 0.853 0 -1
0.883 0.600 0.800 0.600 0.806 1 -1
0.866 0.400 0.500 0.300 0.785 0 -1
0.875 0.400 0.500 0.800 0.774 0 -1
0.900 1.000 1.000 0.700 0.920 1 1
0.875 0.400 0.400 0.500 0.851 0 -1
0.841 0.400 0.500 0.700 0.802 0 -1
0.858 0.400 0.500 0.600 0.842 0 -1
0.983 0.800 0.600 0.900 0.947 1 1
0.908 0.400 0.500 0.800 0.909 0 1
0.833 0.400 0.600 0.500 0.863 0 -1
