arrival_date,label
2015-07-01,2.0
2015-07-02,1.0
2015-07-03,1.0
2015-07-04,1.0
2015-07-05,1.0
2015-07-06,2.0
2015-07-07,1.0
2015-07-08,1.0
2015-07-09,1.0
2015-07-10,2.0
2015-07-11,2.0
2015-07-12,2.0
2015-07-13,2.0
2015-07-14,1.0
2015-07-15,1.0
2015-07-16,2.0
2015-07-17,3.0
2015-07-18,3.0
2015-07-19,2.0
2015-07-20,3.0
2015-07-21,1.0
2015-07-22,1.0
2015-07-23,2.0
2015-07-24,2.0
2015-07-25,3.0
2015-07-26,2.0
2015-07-27,3.0
2015-07-28,1.0
2015-07-29,1.0
2015-07-30,2.0
2015-07-31,2.0
2015-08-01,5.0
2015-08-02,3.0
2015-08-03,3.0
2015-08-04,2.0
2015-08-05,2.0
2015-08-06,1.0
2015-08-07,2.0
2015-08-08,4.0
2015-08-09,3.0
2015-08-10,6.0
2015-08-11,3.0
2015-08-12,1.0
2015-08-13,2.0
2015-08-14,4.0
2015-08-15,5.0
2015-08-16,4.0
2015-08-17,5.0
2015-08-18,3.0
2015-08-19,2.0
2015-08-20,2.0
2015-08-21,3.0
2015-08-22,5.0
2015-08-23,4.0
2015-08-24,3.0
2015-08-25,2.0
2015-08-26,1.0
2015-08-27,1.0
2015-08-28,2.0
2015-08-29,3.0
2015-08-30,2.0
2015-08-31,2.0
2015-09-01,3.0
2015-09-02,1.0
2015-09-03,2.0
2015-09-04,3.0
2015-09-05,3.0
2015-09-06,4.0
2015-09-07,3.0
2015-09-08,2.0
2015-09-09,2.0
2015-09-10,2.0
2015-09-11,2.0
2015-09-12,2.0
2015-09-13,2.0
2015-09-14,3.0
2015-09-15,2.0
2015-09-16,2.0
2015-09-17,2.0
2015-09-18,3.0
2015-09-19,4.0
2015-09-20,3.0
2015-09-21,3.0
2015-09-22,2.0
2015-09-23,3.0
2015-09-24,2.0
2015-09-25,9.0
2015-09-26,3.0
2015-09-27,1.0
2015-09-28,2.0
2015-09-29,1.0
2015-09-30,1.0
2015-10-01,2.0
2015-10-02,3.0
2015-10-03,1.0
2015-10-04,3.0
2015-10-05,2.0
2015-10-06,2.0
2015-10-07,2.0
2015-10-08,1.0
2015-10-09,3.0
2015-10-10,2.0
2015-10-11,1.0
2015-10-12,3.0
2015-10-13,1.0
2015-10-14,1.0
2015-10-15,2.0
2015-10-16,2.0
2015-10-17,1.0
2015-10-18,3.0
2015-10-19,4.0
2015-10-20,2.0
2015-10-21,1.0
2015-10-22,1.0
2015-10-23,2.0
2015-10-24,1.0
2015-10-25,4.0
2015-10-26,1.0
2015-10-27,0.0
2015-10-28,2.0
2015-10-29,1.0
2015-10-30,0.0
2015-10-31,1.0
2015-11-01,1.0
2015-11-02,1.0
2015-11-03,0.0
2015-11-04,0.0
2015-11-05,0.0
2015-11-06,1.0
2015-11-07,1.0
2015-11-08,1.0
2015-11-09,0.0
2015-11-10,0.0
2015-11-11,0.0
2015-11-12,0.0
2015-11-13,0.0
2015-11-14,0.0
2015-11-15,0.0
2015-11-16,0.0
2015-11-17,0.0
2015-11-18,2.0
2015-11-19,0.0
2015-11-20,1.0
2015-11-21,0.0
2015-11-22,0.0
2015-11-23,2.0
2015-11-24,0.0
2015-11-25,0.0
2015-11-26,0.0
2015-11-27,1.0
2015-11-28,0.0
2015-11-29,0.0
2015-11-30,0.0
2015-12-01,0.0
2015-12-02,0.0
2015-12-03,0.0
2015-12-04,2.0
2015-12-05,6.0
2015-12-06,0.0
2015-12-07,0.0
2015-12-08,0.0
2015-12-09,0.0
2015-12-10,0.0
2015-12-11,0.0
2015-12-12,0.0
2015-12-13,0.0
2015-12-14,0.0
2015-12-15,0.0
2015-12-16,0.0
2015-12-17,0.0
2015-12-18,0.0
2015-12-19,0.0
2015-12-20,0.0
2015-12-21,0.0
2015-12-22,0.0
2015-12-23,1.0
2015-12-24,0.0
2015-12-25,0.0
2015-12-26,2.0
2015-12-27,2.0
2015-12-28,1.0
2015-12-29,2.0
2015-12-30,6.0
2015-12-31,2.0
2016-01-01,0.0
2016-01-02,2.0
2016-01-03,0.0
2016-01-04,1.0
2016-01-05,0.0
2016-01-06,0.0
2016-01-07,0.0
2016-01-08,0.0
2016-01-09,0.0
2016-01-10,0.0
2016-01-11,0.0
2016-01-12,0.0
2016-01-13,0.0
2016-01-14,0.0
2016-01-15,1.0
2016-01-16,0.0
2016-01-17,0.0
2016-01-18,0.0
